-----------------------------------------------------------------------------------------
Parameter Settings:
EIUES:                            0.5
Ratio uncertain traces:           0.5

Type:                             encoder_GREEDY
No. warmup steps:                 4000
LR factor                         0.7715556218700459 
Embedding dimension:              256
Dimension of feedforward network: 1024
Number of transformer layers:     1
Number of attentions heads:       8
Dropout:                          0.24285064867247835
Total number of epochs:           150
-----------------------------------------------------------------------------------------
| epoch   0 |     9/  661 batches | lr_step  10 | lr  0.000002 |acc  0.000%| ms/batch 231.49 | loss 1.8184411 
| epoch   0 |    19/  661 batches | lr_step  20 | lr  0.000004 |acc  0.000%| ms/batch 229.49 | loss 1.7849945 
| epoch   0 |    29/  661 batches | lr_step  30 | lr  0.000006 |acc  0.000%| ms/batch 233.58 | loss 1.7485987 
| epoch   0 |    39/  661 batches | lr_step  40 | lr  0.000008 |acc  0.000%| ms/batch 226.00 | loss 1.6782984 
| epoch   0 |    49/  661 batches | lr_step  50 | lr  0.000010 |acc  0.000%| ms/batch 230.18 | loss 1.6311689 
| epoch   0 |    59/  661 batches | lr_step  60 | lr  0.000011 |acc  0.000%| ms/batch 242.05 | loss 1.5668484 
| epoch   0 |    69/  661 batches | lr_step  70 | lr  0.000013 |acc  0.000%| ms/batch 222.60 | loss 1.4903882 
| epoch   0 |    79/  661 batches | lr_step  80 | lr  0.000015 |acc  0.000%| ms/batch 222.40 | loss 1.4456893 
| epoch   0 |    89/  661 batches | lr_step  90 | lr  0.000017 |acc  0.000%| ms/batch 229.39 | loss 1.3744672 
| epoch   0 |    99/  661 batches | lr_step  100 | lr  0.000019 |acc  0.020%| ms/batch 246.04 | loss 1.3383639 
| epoch   0 |   109/  661 batches | lr_step  110 | lr  0.000021 |acc  0.000%| ms/batch 228.69 | loss 1.2908008 
| epoch   0 |   119/  661 batches | lr_step  120 | lr  0.000023 |acc  0.020%| ms/batch 222.80 | loss 1.2474028 
| epoch   0 |   129/  661 batches | lr_step  130 | lr  0.000025 |acc  0.059%| ms/batch 231.68 | loss 1.1871063 
| epoch   0 |   139/  661 batches | lr_step  140 | lr  0.000027 |acc  0.039%| ms/batch 236.76 | loss 1.1633781 
| epoch   0 |   149/  661 batches | lr_step  150 | lr  0.000029 |acc  0.137%| ms/batch 231.68 | loss 1.1200313 
| epoch   0 |   159/  661 batches | lr_step  160 | lr  0.000030 |acc  0.195%| ms/batch 232.78 | loss 1.1071583 
| epoch   0 |   169/  661 batches | lr_step  170 | lr  0.000032 |acc  0.234%| ms/batch 229.69 | loss 1.0654203 
| epoch   0 |   179/  661 batches | lr_step  180 | lr  0.000034 |acc  0.215%| ms/batch 233.78 | loss 1.0280528 
| epoch   0 |   189/  661 batches | lr_step  190 | lr  0.000036 |acc  0.312%| ms/batch 246.59 | loss 0.9998995 
| epoch   0 |   199/  661 batches | lr_step  200 | lr  0.000038 |acc  0.527%| ms/batch 243.09 | loss 0.9822872 
| epoch   0 |   209/  661 batches | lr_step  210 | lr  0.000040 |acc  0.234%| ms/batch 243.67 | loss 0.9498619 
| epoch   0 |   219/  661 batches | lr_step  220 | lr  0.000042 |acc  0.352%| ms/batch 237.35 | loss 0.9265050 
| epoch   0 |   229/  661 batches | lr_step  230 | lr  0.000044 |acc  0.332%| ms/batch 231.47 | loss 0.9226984 
| epoch   0 |   239/  661 batches | lr_step  240 | lr  0.000046 |acc  0.391%| ms/batch 241.32 | loss 0.8946344 
| epoch   0 |   249/  661 batches | lr_step  250 | lr  0.000048 |acc  0.586%| ms/batch 232.91 | loss 0.8990487 
| epoch   0 |   259/  661 batches | lr_step  260 | lr  0.000050 |acc  0.527%| ms/batch 222.75 | loss 0.9007278 
